[00:03] 大家都知道图像是大自然创造的
[29:44] 这样不就成功了
[29:46] 对所以我们当时做在23年的时候
[29:49] 我们做我们的第一代语言模型
[29:51] 就是step1的时候
[29:53] 就完全走了这样的一个路线
[29:56] 我们当时没有做一个纯的语言模型
[29:59] 还是从我们预计量最开始
[30:01] 我就把我所有的数据都把它组织成图文混材的一个形式
[30:07] 对
[30:08] 然后遇到图像
[30:09] 我就配一个图像
[30:11] 遇到文字
[30:12] 我就配一个文字
[30:13] 文字的话也是token化
[30:15] 图像也是token化的
[30:16] 只有一点是跟文字略有区别
[30:20] 在生成的那个地方
[30:21] 生成这个图像的地方
[30:23] 对因为auto regressive
[30:26] 至少在那个时间点
[30:27] 它直接用auto regressive生成图像
[30:30] 还是效果会差一些
[30:31] 所以我外挂了一个diffusion
[30:34] 已经预计量好的一个diffusion的模块
[30:36] 来做这个图像的生成
[30:39] 对好
[30:40] 这就是我们就做了当时的第一版的
[30:43] 就是我们的多摩泰模型
[30:46] 就是7e
[30:47] 对
[30:48] 这个模型就说一下效果怎么样
[30:50] 首先文字部分跟直接训练文字相比差不多
[30:56] 效果也是挺好的
[30:58] 它的图像理解效果尤其的好
[31:01] 经过这种图文混材训练
[31:03] 因为当时的就是尤其学术界流行的方法
[31:07] 先训完语言模型之后
[31:09] 我再把其他的模态通过后训练对齐的方法
[31:14] 对到这个语言模型
[31:15] 它并没有在预训栏最开始就把多摩泰数据加进去
[31:20] 所以我们的这个方法
[31:22] 其实在预训栏最开始就把它数据加进去以后
[31:25] 就发现它其实图像和文字对齐的非常好
[31:28] 它主要是体现在图像理解上
[31:31] 它能力很强
[31:32] 而且你会发现图像和文字它的相容性非常好
[31:38] 也就是说比如说你把字写到图像上
[31:41] 你针对这些字文问题
[31:43] 和把这个字用OCR做出来
[31:45] 它的效果几乎是差不多的
[31:47] 也就是说对于这个模型来说
[31:49] 它已经完全能够自由的利用文字和图像
[31:54] 这两个模态的信息进行思考
[31:56] 在它看起来没有什么障碍
[31:58] 但是唯独有一点就是生成的效果特别差
[32:03] 我们虽然是在上面挂了一个diffusion单元
[32:06] 这个diffusion单元也是经过预训练的
[32:08] 它可以生成文字
[32:10] 它是可以生成图像
[32:11] 但是我们发现就简单的
[32:14] 就是这样的
[32:15] 这样做的一个动态系统
[32:18] 你的理解部分
[32:19] 也就是说你的语言部分
[32:21] 对视觉部分它的控制能力是非常差的
[32:25] 对
[32:26] 同时更有意思的是我们还试验
[32:29] 我在训练的某个阶段
[32:30] 我把生成部分给去掉
[32:34] 后来发现我完全没有影响我的理解部分性格
[32:39] 说白了就是我的生成部分可能就是没有用了
[32:42] 对
[32:43] 这个其实是对我们来说是很重要的
[32:45] 也是一个很大的打击
[32:49] 本来设计这个系统就是想做叫所谓的生成理解一体化
[32:53] 从架构上仿佛实现了
[32:56] 既能生图也能理解图
[32:58] 既能生成文字也能理解文字
[33:00] 但是最后效果其实没有达到要求
[33:02] 同时期我们也注意到
[33:03] 同时期像海外的一些比较有名的工作
[33:06] 像Gemmler 1.0
[33:07] 它也号称是东北大训练
[33:10] 最后我看它也没有做到图样和理解和生成的一体化
[33:15] 同时间吉利斯V好像也没有实现
[33:20] 它也是通过外挂打理的一种方式
[33:22] 这就让我意识到这件事情其实可能没有那么简单
[33:27] 就是说这个图像和视频就看起来
[33:30] 你是强行把这样的一个生成和理解做到了一个系统里面
[33:36] 但是从它实际的效果来看
[33:40] 它其实完全没有达到这个语言的这个生成和理解
[33:45] 完全融合到一起这样的一个特性
[33:48] 就是生成和理解在那个时间点看起来还是分开的
[33:52] 但是至于为什么导致了这个生成和理解
[33:55] 就图像的这个生成理解也如此难以融合
[33:58] 其实在那个时间点我们是没有太好的阿弥陀佛
[34:02] 所以当时就做了很多种假设
[34:05] 可能认为是更多的数据质量的问题
[34:09] 可能我图文相关的这种图文高度相关的这种数据量
[34:15] 或者数据密度还是太少
[34:17] 因为我们知道从互联网拔了有很多看起来相关的
[34:20] 它其实图文无关的这样的内容
[34:23] 这个很有可能干扰了这个训练
[34:25] 所以说在整个2014年我们的这个生成和理解
[34:29] 其实是分开迭代的
[34:31] 因为我看这个也是时候就2014年
[34:34] 对对2014年这也是这块也是分开迭代的
[34:37] 因为我观察到像海外的一些大厂
[34:39] 像欧凡尔亚他也是的
[34:41] 他从那个他们一直就是他的理解这条线
[34:45] 把语言把声音
[34:47] 尤其时候之后把语言把声音
[34:50] 把视觉理解甚至后面还有视频理解
[34:53] 像吉姆纳也是的
[34:55] 都融合到一个模型
[34:56] 但是生成这部分一直是单独做的
[34:59] 走的是达里到索拉这条路线
[35:01] 所以到2014年的时候呢
[35:03] 我们也是在走这条路线
[35:05] 但是呢我们在不断的在找
[35:07] 这中间有没有机会能把它融到一起
[35:10] 对因为对于一个生成模型来说
[35:13] 它需要构造这个文物
[35:15] 和这个视觉信号的这个配合
[35:18] 我完全可以用我最新版的这个理解模型
[35:22] 给它打标
[35:23] 打标打标
[35:24] 我就可以做到一个更好的一个视觉生成模型
[35:27] 再把生成模型那个外挂到这个理解模型里面
[35:32] 我去继续训练我的理解模型
[35:34] 这样我的生成模型它可以提供梯度
[35:37] 这个梯度是是可以指导我这个理解模型
[35:41] 这样的话经过这样一轮迭代
[35:43] 我就认为
[35:44] 生成和理解这中间的gap有缩小了一截
[35:48] 我再利用这个生成模型
[35:50] 给这个这个理解模型再给生成模型打标
[35:53] 训练下一代的生成模型
[35:55] 再反过来再给理解
[35:57] 我在想是不是到中间某一个时刻
[35:59] 这两个等段的gap就会越来越小
[36:02] 最后在某一个时刻
[36:03] 我就可以把它放在一块进行训练
[36:06] 我有一个这样好的一个出手
[36:08] 已经充分对齐的一个这样的一个初始的这个系统
[36:11] 我把它放在一块
[36:12] 哎
[36:13] 就可以把整个链路给跑起来了
[36:16] 对但是呢
[36:17] 其实我做了大半年
[36:19] 这件事都没有都没有成功
[36:21] 我得到了一个越来越强的理解模型
[36:24] 和一个越来越强的生成模型
[36:26] 但把它放到一块
[36:27] 不是说不work
[36:28] 你永远可以放到一块
[36:30] 但是它没有1加1大于2的效果
[36:33] 我放到一块以后
[36:35] 它还是它的表现还是两个模型
[36:38] 还是两个模型
[36:39] 也就是说我随便把它摘掉一个
[36:42] 而另一个的效果不受影响
[36:44] 既不会变强也不会变弱
[36:46] 那我还要把它两个放在一块
[36:48] 也就是说它完全没有起到这两个叠加的这样的一个效果
[36:53] 这是理解对生成
[36:54] 那生成对理解就更糟糕
[36:56] 我刚说错了
[36:57] 那个刚刚我说的是生成对理解
[37:00] 理解对生成就更为糟糕
[37:02] 虽然我打了这么多数据
[37:04] 我还联合训练了半天
[37:05] 但是这个我生成分支的可控性
[37:08] 仍然是非常的差
[37:10] 对
[37:11] 比如说它经常会生成一些
[37:14] 像比如说有肢体畸变
[37:16] 有那个违反几何约束
[37:18] 尤其说我这个视频生成的时候
[37:20] 是大量的违反这个物理约束的
[37:23] 这样的一个视频信号被生成出来
[37:26] 我把这样的一个信号
[37:28] 直接送给理解模型
[37:30] 它能够准确的告诉我
[37:32] 这个东西是不符合常识的
[37:35] 对它自己都知道
[37:37] 但是它自己无法控制住自己
[37:39] 生成出这些
[37:41] 就是显著违反这个物理常识
[37:44] 或者从空间透视关系的
[37:46] 这样一个图像
[37:48] 所以这件事就一直卡在这里
[37:51] 我当时是一直是没有想清楚
[37:54] 这件事要怎么做
[37:56] 所以生成理解一体化
[37:58] 就当时我做了大半年
[38:00] 我其实当时是一个很迷茫的
[38:02] 但是这个转机呢
[38:04] 其实出现在那个欧系列
[38:06] 语言模型这个欧系列
[38:08] 就是产生之后
[38:11] 就OE
[38:13] 其实OE这个东西非常了不起
[38:16] 我可能还要再把时间回退了
[38:19] 我再研究一下
[38:20] 其实在20年之后
[38:22] 我们语言模型也走了一个很大的弯路
[38:25] 其实直到欧系列出现
[38:29] 我才把所有这些事情想清楚
[38:33] 时间回到23年底
[38:36] 其实到23年底
[38:37] 我们是把那个3V1给做完了
[38:39] 它其实是一个
[38:40] 刚刚主要介绍了
[38:42] 它是一个多摩胎
[38:44] 一个图文混排
[38:45] 这样的模型训练子
[38:47] 对
[38:48] 它参数大概是100多币
[38:50] 就是一个千亿参数
[38:52] 那很自然的就想
[38:53] 我当时说
[38:54] 我现在数据量也够了
[38:56] 我算力可能也够了
[38:58] 对
[38:59] 然后呢
[39:00] 我是不是要挑战一些更大的
[39:01] 对
[39:02] 所以在24年初的时候
[39:04] 我们选择就上码了一个
[39:07] 一个更大的一个模型
[39:09] 就是STEP2
[39:11] 万亿参数
[39:12] 尤其是它跟今天的这些万亿参数
[39:14] 还不一样
[39:15] 它激活非常大
[39:16] 激活有200多币
[39:18] 对
[39:19] 这是一个非常巨无霸的模型
[39:21] 但是一旦这个模型开训以后
[39:24] 我们发现它这个投入
[39:27] 就简直是一个无底洞
[39:29] 一方面
[39:30] 一开始大大低估了
[39:32] 就训练这么大的模型
[39:33] 是需要的数据量
[39:35] 对
[39:36] 在数据不足的情况下
[39:37] 你光把这个模型
[39:39] 拉不到非常大
[39:40] 其实效果是很差的
[39:42] 对
[39:43] 还需要巨大的数据量
[39:44] 大家都知道
[39:45] 这个算力
[39:46] 跟你的卡数
[39:48] 算力需求
[39:49] 跟那个卡数是正比关系
[39:52] 是吧
[39:53] 随着数据的增长
[39:54] 跟你的算力也是个增长
[39:56] 也是个正比关系
[39:58] 所以你同时扩大模型的参数
[40:01] 和那个数据量
[40:03] 对算力需求就是个平方关系
[40:06] 当然我们是
[40:07] 现在这个模型是非常非常迟
[40:09] 这个Project前后做了9个多月
[40:12] 但总算算迅到一个
[40:15] 我们认为
[40:16] 就是其实比较满意的一个状态
[40:18] 对
[40:19] 但是当时发生了一件事
[40:22] 让我们就觉得
[40:23] 就百思不得其解了
[40:25] 一般我们认为
[40:27] 就随着这个数据扩大
[40:29] 这个模型扩大
[40:31] 这个模型应该是
[40:32] 能力的全方位增长
[40:34] 对
[40:35] 但是我们就发现了
[40:36] Santo这个模型的性质很奇怪
[40:38] 它在文科上非常非常强
[40:40] 文科类的
[40:41] 还有包括写作类的
[40:42] 它非常强
[40:43] 但是它在理科类
[40:44] 尤其是数学
[40:45] 数学上表现的还不如一个7B的模型
[40:48] 而且是很困难
[40:50] 就你想把它
[40:51] 通过LM的这个方式
[40:52] 把它的数学或者逻辑能力做上去
[40:54] 这是一个非常困难的事情
[40:57] 对
[40:58] 所以说这件事其实是非同寻常
[41:00] 因为当时在整个Community
[41:02] 大家都认为是
[41:03] 就模型越大
[41:04] 应该是in general越好
[41:06] 对
[41:07] 但是我们发现这个现象以后
[41:10] 一开始觉得我们数学质量不行
[41:12] 或者没有训够时间
[41:14] 等等
[41:15] 但是后来做了一系列
[41:16] 非常严谨的一个测试
[41:18] 我们再也想模型了
[41:19] 比如从1B到7B再到30B
[41:22] 再到70B
[41:24] 这样一路测
[41:25] 我们训了一系列这个项目
[41:27] 我们发现
[41:28] 确实是模型的通路对话能力
[41:30] 尤其是情商这一块
[41:32] 是确实是
[41:33] 还有知识量确实是越大越强
[41:35] 但模型的推理能力
[41:36] 尤其是数学这种比较局限的推理能力
[41:41] 比较局部的推理能力
[41:43] 它其实是表现为一个先上升
[41:46] 然后再平
[41:47] 再扩大了就反而是个下降
[41:49] 这个是不是还是一个业界的非共识
[41:51] 很多人还没怎么认为
[41:53] 到今天已经有很多人意识到了
[41:56] 但在去年那个时间点
[41:58] 其实因为还很少有人
[42:01] 真做了这么大
[42:03] 把它这个曲线
[42:04] 增长曲线的后半段给画下来
[42:06] 它其实是个下降
[42:08] 这件事其实让我们就是比较诧异
[42:12] 但仔细一想
[42:13] 其实我们看到
[42:15] 就是说为什么更大的模型
[42:17] 它这个做这些理科这些问题
[42:19] 它效果是变差
[42:21] 然后是发现了一些蛛丝马迹
[42:24] 就比如说更大的模型
[42:26] 它在作业数学期
[42:27] 它更轻易向你跳动
[42:30] 它不会像一些相对比较小的模型
[42:33] 它虽然能力很弱
[42:35] 但它处理一些长练的算式
[42:37] 不管它再简单
[42:38] 它都会老老实实的一步计算
[42:41] 一个较大的模型
[42:43] 它总是写了
[42:45] 比如说写了三个书
[42:47] 这三个书相加
[42:49] 它经常就是
[42:50] 它放弃一步步推导
[42:51] 它直接一口
[42:53] 就是报出这个最后的结果
[42:55] 虽然从总体的这个思维链来看
[42:58] 它是从前写到后面
[42:59] 但它中间的某些细节步骤
[43:01] 它总是倾向于跳步
[43:03] 一跳步呢
[43:04] 其实大部分情况都是对的
[43:06] 但就有那么少量的情况是错的
[43:08] 但数学题大家都知道
[43:09] 你错一步
[43:10] 那最后的结果就完全错了
[43:13] 这件事其实当时就引起了我注意
[43:16] 我就很好奇
[43:17] 实际上我们在训练的语调人
[43:19] 很多是来自互联网
[43:20] 但也包括很多核能数据
[43:22] 核能数据我是可以保证
[43:24] 它跳步的情况是很少的
[43:26] 但是对于那互联网数据
[43:28] 因为人类的数据
[43:29] 很多是省略了中间过程
[43:30] 那跳步应该是非常多的
[43:32] 这种情况
[43:33] 这种情况跳步是非常多的
[43:34] 所以这很容易理解
[43:35] 为什么这些大模型会跳步
[43:38] 但是那些相对比较小的模型
[43:40] 为什么我训练完以后
[43:42] 它反而不会跳步呢
[43:43] 对了
[43:44] 最后我经过分析
[43:45] 我认为这其实就是
[43:48] 它有一个本质的缺陷
[43:49] 对
[43:50] 大家都知道
[43:52] 其实就是GPT的核心范式
[43:54] 也是支撑这一代大模型起飞的
[43:58] 就是第一代最基础的一个算法
[44:01] 它本质是
[44:03] 联合概率的建模
[44:05] 联合概率建模
[44:06] 也就是说模型会在优化过程中
[44:09] 会尽可能调整它的输出
[44:12] 使它输出更
[44:14] 就越来越接近你输入数据的
[44:17] 这个数据的分布
[44:19] 就是我模型输出的分布
[44:20] 和数据的分布
[44:22] 要越接近越好
[44:23] 它还有一种理解就是做压缩
[44:25] 对
[44:26] 因为大家知道
[44:27] 学过心机论
[44:28] 大家都知道
[44:29] 你联合概率对一个压缩器来说
[44:30] 你联合概率估得越值
[44:32] 那么你对这个数据做无损压缩的时候
[44:34] 你的码率其实可以做到越小
[44:37] 就是通过
[44:38] 它其实是通过对数据的压缩
[44:40] 通过这种归纳的方式
[44:42] 获得了一定的这个质量
[44:44] 这其实呢
[44:45] 是这种主要的原因
[44:48] 但是呢
[44:49] 到了数学这个
[44:50] 就是刚刚说的数学这样的问题
[44:53] 你会发现这两件事之间
[44:55] 存在一个非常本质的概率
[44:57] 就是说更大的压缩率
[44:59] 其实未必对应更高的
[45:01] 计算精度
[45:03] 对
[45:04] 我们举一个思想实验
[45:06] 对
[45:07] 就是我们举一个思想实验
[45:09] 现在假设这个数据集里面
[45:12] 它有很多的这个操作都在做
[45:15] 比如十几个数字相加
[45:17] 这样的一个操作
[45:19] 对
[45:20] 可能呢有50%的数据
[45:22] 它来自于互联网正常的预料
[45:24] 它是没有给出计算过程的
[45:26] 它就直接十几个数字相加
[45:28] 最后一个等号得到了最后的结果
[45:31] 对
[45:32] 还有一些数据呢
[45:33] 可能是你精心清洗
[45:34] 或者专门找了有过程的数据
[45:36] 对
[45:37] 它会非常老老实实的
[45:39] 一步一步的把这十几个数字
[45:42] 就是一步步相加
[45:44] 对
[45:45] 最后得到了这个最终的
[45:47] 最终的结果
[45:48] 好
[45:49] 我现在让这个小模型去
[45:50] 我让一个模型去
[45:52] 你和让你分布
[45:53] 大家在想
[45:55] 在
[45:56] 当你达到这个最优的这种情况下
[45:59] 就最大压缩的情况下
[46:00] 那个模型就应该是以百分之五十的概率
[46:03] 直接输出结果
[46:06] 还有百分之五十的概率
[46:08] 按右边那样
[46:09] 就一个一个的词
[46:11] 这样输出结果
[46:13] 这是理论的最后词
[46:14] 但是当我们拿一个小模型去训练的时候
[46:17] 你会发现
[46:18] 其实左边那个风
[46:20] 直接一口爆出结果
[46:21] 因为它模型参数量有限
[46:24] 它处理不了这么复杂的函数
[46:27] 所以它几乎会出现
[46:29] 几乎拟合不上
[46:31] 这样的一个问题
[46:32] 对
[46:33] 所以最后它能够学会的
[46:35] 其实只有右边那个风
[46:37] 这其实就是非常经典的
[46:39] 就生成模型里面的叫特征坍缩现象
[46:41] 对
[46:42] 就像大家我们做一个
[46:43] 比如说我们做一个DPO性model
[46:46] 去生成图像
[46:47] 你会发现它总是先建模那些
[46:50] 比较简单的图
[46:52] 当你这个模型能力
[46:53] 或者训练时间更久以后
[46:55] 它才逐渐才会把完整的这个分布刻画出来
[46:58] 对
[46:59] 如果模型能力有限
[47:00] 它只会建模
[47:01] 就每次输出
[47:02] 你会发现基本都一样
[47:04] 我们把这个现象做特征坍缩
[47:06] 对
[47:07] 那大模型就不一样
[47:08] 大模型会尝试
[47:09] 比如我们尝试过stample
[47:12] 它的激活有200多币
[47:14] 它真的可以十几个两位数相加
[47:17] 它直接一口爆出最后那个答案
[47:19] 而且那个答案大概都要是对的
[47:20] 可能有个90
[47:21] 91张概率是对的
[47:23] 对
[47:24] 当然它也有概率
[47:26] 一步一步就是输出
[47:28] 就是输出
[47:29] 对
[47:30] 但现在问题来了
[47:31] 就是从
[47:32] 如果你以压缩率论英雄
[47:34] 那当然是那个大模型压缩率更高
[47:36] 因为它跟原来的分布更接近
[47:38] 你看这小模型直接
[47:40] 直接扫了一个封
[47:42] 那肯定是压缩率不足
[47:44] 就得一个表现
[47:46] 但是呢
[47:47] 对于数学体
[47:48] 我们首要的要求是你得算对
[47:51] 而不是你的分布离那个预训练语料更为接近
[47:55] 这就产生问题了
[47:57] 小模型
[47:59] 不管小模型大模型
[48:00] 只要它是一步步算
[48:01] 因为都是一些比较简单的数字运算
[48:04] 它几乎是不会错
[48:05] 它肯定是对的
[48:06] 但大模型它总有倾向
[48:08] 它觉得它行了
[48:10] 它却走了那个就是一步
[48:13] 就是一步直接爆出的答案
[48:17] 你想对于一个相对比较复杂的数学体
[48:19] 它可能有很多很多的步骤
[48:21] 它可能有很多种步骤
[48:22] 然后呢
[48:23] 中间任何一步
[48:25] 只要它觉得它
[48:26] 它觉得它很行
[48:27] 对
[48:28] 它不用一个
[48:29] 它不用那个一步步计算
[48:30] 开始偷懒
[48:31] 就一步步爆出答案
[48:32] 可能90%都是对的
[48:34] 但它就那错那10%
[48:36] 就那10%它就要命
[48:38] 对
[48:39] 只要错一步
[48:40] 尤其是很长的人
[48:41] 它最终的错误率就会非常的高
[48:43] 所以你会发现
[48:44] 它做那些常练的这种COT
[48:46] 数学是这样的
[48:47] 很多那种推理型需要推理的问题
[48:49] 也是一样
[48:50] 对
[48:51] 它总是在中间跳过了一些必要的步骤
[48:54] 然后直接输出
[48:56] 一个它自认为很对的答案
[48:59] 很多时候确实是对的
[49:01] 但是一旦我这个逻辑推理越复杂
[49:03] 步骤越多
[49:04] 这种小的错误可能性的累积
[49:07] 就使得你整个的这个错误率
[49:09] 反而就大幅增加
[49:11] 就很多时候还远远不如
[49:13] 那些小模型走到
[49:15] 对
[49:16] 就这个现象非常糟糕
[49:17] 对
[49:18] 而且我们
[49:19] 它可能直接指向了
[49:21] 我们做那个next token prediction
[49:24] 这样一个本质的缺陷
[49:25] 对
[49:26] 其实next token prediction
[49:28] 大家其实在业界
[49:31] 大家对它的批评也很多
[49:33] 因为它本质是个比较容易
[49:35] 就天生容易OOD
[49:37] 容易在中间出现分叉
[49:40] 其实就是OOD
[49:42] 以后就是它容易陷入了一个
[49:45] 它没见过的环境
[49:46] 很多幻觉也是这样产生的
[49:48] 对
[49:49] 这个都是老生常谈
[49:50] 但是我刚发现这个现象
[49:52] 可能我想在业界里讨论的还不多
[49:55] 对
[49:56] 这还是一个比较有趣的一个问题
[49:59] 对
[50:00] 当然这个解决方案
[50:01] 大家也比较自然
[50:03] 因为你刚刚说了嘛
[50:05] 压缩率就next token prediction
[50:07] 本质上还是基于信息论
[50:09] 是压缩率
[50:10] 对
[50:11] 是最大化压缩率的
[50:13] 但是如果
[50:14] 就是怎么说呢
[50:15] 如果你的这个问题本身
[50:18] 跟压缩率
[50:19] 最大化压缩率
[50:20] 这两个优化目标存在概率
[50:22] 那你还不如直接优化
[50:24] 我关心的那个任务本身
[50:26] 那其实就是RL
[50:27] 是说提出了这个问题的依据
[50:30] 对
[50:31] 所以像你想
[50:32] 大家想这一波OE出现以后
[50:34] 包括像R1
[50:36] 就非常优秀的这些工作
[50:39] 对
[50:40] 其实大家都用了这个Rubes
[50:42] 然后这套方案
[50:43] 但实际上这套方案
[50:44] 真正在大模型里面使用
[50:47] 大规模使用时间是非常早的
[50:49] 对
[50:50] 其实基本上在24年初
[50:52] 就非常非常多人
[50:53] 都试过把这个Rubes RL接进来
[50:57] 就很大的原因
[50:58] 也是为了克服大家所说的
[51:00] 这个VIVACONI
[51:01] 或者说
[51:02] 就或者next to prediction
[51:04] 这套方式有缺陷
[51:05] 对
[51:06] 但是呢
[51:07] 从效果来说
[51:09] 大家发现这个收益是非常有限
[51:11] 就看起来Rubes RL
[51:13] 我的目标非常对
[51:14] 我不管你
[51:15] 它其实就就相当于跳出了
[51:18] 之前叫你和分布这样的一个范畴
[51:21] 我就是
[51:22] 只打目标
[51:24] 我不管你中间怎么做
[51:25] 你把目标做对就行
[51:27] 你可不可以发现这种情况下
[51:28] 大模型和小模型就一视同仁了
[51:31] 对
[51:32] 那个一视同仁
[51:33] 大模型不是喜欢跳步吗
[51:34] 但是它只要跳步
[51:36] 它就会降低它
[51:38] 遇到正确它的这个概率
[51:41] 对
[51:42] 所以呢
[51:43] 一旦我上了这个Rubes RL
[51:45] 那么大模型的这个缺陷
[51:46] 就容易跳步这个缺陷
[51:48] 其实就得到了很大程度的防御
[51:50] 对
[51:51] 它自己会找到一种最可靠的
[51:53] 最有可能达到达到这个目标的这样一个路径
[51:57] 但是它这个路径有收益
[51:59] 就这个方法有收益
[52:01] 尤其是大模型收益会更大
[52:03] 因为它其实是起点更低的
[52:06] 对
[52:07] 它的base量更低
[52:08] 小模型也会有收益
[52:10] 对它的稳定思维量很有效
[52:12] 但是这个总体来说
[52:13] 这个收益还是非常小
[52:14] 对
[52:15] 我们发现很多的问题
[52:16] 它该做不对
[52:17] 它还是做不对
[52:18] 对
[52:19] 但是直到OE出现以后
[52:20] 啊
[52:21] 这个情况得到了非常大的一个改观
[52:24] 对
[52:25] 我觉得把OE时刻跟这个GD时刻
[52:28] 这个就怎么说呢
[52:31] 把它也当成一个某种意义上的GD时刻
[52:34] 我觉得一点都不会过
[52:36] 对
[52:37] 对
[52:38] OE这个同样是RL
[52:40] 那OE跟之前它用的这些凡是有什么不同的
[52:44] 其实这个核心点
[52:45] 大家可能很多人都觉得
[52:47] 可能这些RL算法
[52:49] 或者是一些数据上的一些
[52:51] 也严谨
[52:52] 因为
[52:53] 对
[52:54] 但其实都不是
[52:55] 算法还是那个算法
[52:56] 还是
[52:57] 还是这个Rule base
[52:59] 这样的一个算法
[53:00] 对
[53:01] 其中最核心的原因就是它的那个
[53:03] 它的思维链的pattern
[53:05] 我们做这一行呢
[53:06] 如很多人都说
[53:07] OE
[53:08] 做OE或者做思考方式
[53:10] 本质就是pattern is all you
[53:12] 对
[53:14] 就是所谓的
[53:15] 你要找这样的一个
[53:17] 最佳的这个思维链的这个组织方式
[53:20] 再有这个RL算法的进发
[53:23] 就可以了
[53:24] 它这个RL算法
[53:25] 至于选什么其实都不关心
[53:27] 你要业界用的比较多
[53:29] 像PPO GAPO
[53:30] 那这当然可以
[53:31] 但如果你不想用
[53:32] 你用什么reinforce++
[53:35] 用一些其他
[53:37] 可能更简单的
[53:38] 就甚至最原始的
[53:39] 这个Political Rating的
[53:41] base的一些方法
[53:42] 其实都是可以的
[53:43] 对
[53:44] 没有什么本质差别
[53:45] 真正的差别
[53:46] 其实就真正使得它
[53:49] 或者说
[53:50] 让这个OE like的方式
[53:53] 和之前的方式
[53:54] 产生差别的最主要原因
[53:56] 还是那个思维链的pattern
[53:59] 对
[54:00] 这就不得不说一下
[54:01] 说就是为什么O这种
[54:03] O这套方式
[54:05] 就是
[54:06] 就是怎么说呢
[54:07] 它虽然用了RL这个方法
[54:09] 但是说实话
[54:11] 在这个community里的很多人都认为
[54:13] 尤其是搞RL的
[54:14] 都认为这不是RL
[54:16] 它只是借用了RL的一些名词
[54:19] 和方法论
[54:20] 但它的世界观是完全不一样
[54:22] 比如说我们传说
[54:23] 做打游戏的这些
[54:25] 或者做那个控制的
[54:27] 这些RL算法
[54:28] 对
[54:29] 它遇到的问题其实很
[54:31] 很多时候都是那个
[54:33] 它奖励回报
[54:34] 就是过于稀疏
[54:36] 而且难以估计
[54:37] 这样的一个问题
[54:39] 对
[54:40] 就比如说你想打游戏
[54:41] 你真想达到一个非常高的分
[54:43] 你纯粹这种
[54:45] 这种
[54:46] 就是你在原力
[54:48] 你让游戏中的人物
[54:50] 在随机胡乱的操作
[54:52] 是非常非常困难的
[54:53] 对
[54:54] 你需要写非常多的规则
[54:56] 或者是
[54:57] 你要用一些各种各样的技巧
[54:59] 去鼓励它的探索性
[55:00] 让它真的能走到
[55:02] 一个能够达到高分的
[55:05] 这样的一个点
[55:07] 尤其像棋牌类
[55:10] 棋牌类你想
[55:12] 假如说
[55:13] 当然很多棋牌类
[55:14] 它是一个左右互搏式的训练
[55:16] 假如说
[55:17] 我不是让你走互搏
[55:19] 我上来让你挑战某一个
[55:21] 某一个已经训好的人工智能体
[55:23] 大家可以想象一下
[55:25] 你想获得正的reward
[55:27] 难度有多大
[55:28] 它基本是不可能的
[55:30] 对
[55:31] 而且关于回报的估计
[55:33] 也经常会有很多的问题
[55:35] 比如说在一个早期
[55:37] 在一个序列的早期
[55:38] 你想获得精准的回报
[55:39] 这是不太可能的
[55:41] 而且这个空间
[55:43] 它的决策空间也非常不光滑
[55:46] 我可能需要用MCTS
[55:48] 就收到非常后期的一些分子
[55:51] 就筛选出一些高质量
[55:53] 就可能有高
[55:54] 比如说的机位分子
[55:56] 把它一路propagate到前面
[55:58] 我才能拿到比较high quality
[56:00] 这个就是训练的sample
[56:03] 我这个RL路径才可以继续
[56:05] 但是大家做OE的时候
[56:07] 大家很多人都发现
[56:08] 我上一个MCTS
[56:10] 似乎完全没有什么用
[56:12] 我搞一个PRM呢
[56:14] 不能说完全没用
[56:16] 但是至少在目前大家研究的这些问题
[56:20] 也许是问题过于简单
[56:24] 也许是因为其他原因
[56:26] 但是种种现象都是
[56:28] 发现在RL里面流行的那些方法
[56:30] 其实在语言模型里是很不一样的
[56:34] 我认为这里的其实最核心的原因
[56:37] 还是在于语言是有pre-train
[56:40] 语言pre-train
[56:42] 而且这个pre-train
[56:44] 它非常的重
[56:47] 跟我们做其他一些
[56:49] 尤其打游戏场地的那些场地
[56:52] 很多时候是靠完全能启动
[56:54] 或者仅仅是一个很轻量级的配置
[56:56] 它是完全不同的
[56:58] 大家想象一下
[56:59] 就是我解游数学体
[57:00] 往往需要有上千
[57:01] 成千或者上万的propagate
[57:03] 如果从动作序列的角度来说
[57:05] 就相当于我有一个
[57:07] 成千上万的这样一个动作序列
[57:09] 每个动作序列的
[57:11] 我的action space是整个词表
[57:14] 这是一个非常大的搜索空间
[57:16] 如果是这种情况下
[57:18] 我可以认为是
[57:19] 目前所有的RL算法
[57:20] 可能都是无能为力
[57:22] 但是不是
[57:23] 实际上在有预训练之后
[57:26] 我们发现
[57:27] 其实因为预训练里
[57:28] 见过非常多种
[57:30] 以数学为例
[57:31] 他见过各种不同的
[57:33] 难度不同的这种题目
[57:35] 可能全天下的题目
[57:37] 他都见过
[57:38] 就使得他的动作空间
[57:41] 得到了极大的压缩
[57:42] 你看起来是一个
[57:44] 长度是几万的token序列
[57:47] 他真正会让他的解法产生
[57:50] 本质区别的分叉点
[57:52] 就那么几个
[57:53] 可能我做了一些统计
[57:55] 对于一个
