[00:03] 人就是一个标准的通用的VOA模型大佬
[27:25] 跟对环境视觉的感知的这一块
[27:28] 我可以用一个VLM做更通用的一个
[27:30] 这样的一个推理和思考
[27:32] 就不像之前的话
[27:33] Perception就刚刚提到的
[27:35] 什么传统的AI的模型的话
[27:37] 分割一个模型
[27:39] 然后检测一个模型或者等等
[27:40] 就非常多单一的模型
[27:41] 那么现在的话
[27:42] 你可能基于一个大的一个Vision Language Model的话
[27:45] 然后你可以做更加通用的这样事情
[27:48] 对
[27:49] 所以说它是把这块取起来
[27:51] 这里面有几个工作
[27:53] 那么有一个也是比较有意思的一个工作
[27:55] 叫Inner Monologue
[27:57] 翻译过来就是内心独白
[27:59] 然后这个也是比较有意思
[28:02] 就是他举了一个例子
[28:04] 就比如说我要去拿钥匙
[28:07] 这个任务要去拿钥匙去开门
[28:09] 是吧
[28:09] 然后你去开了之后
[28:11] 他自己来想我要开门
[28:14] 我先试一试
[28:15] 我把这个钥匙拿起来
[28:16] 然后把它插入钥匙孔
[28:17] 然后看一下
[28:19] 完了之后会发现
[28:20] 好像这把钥匙没对
[28:23] 然后我想我得找另一把
[28:25] OK我找另一把
[28:26] 然后再试
[28:27] 现在好像work了
[28:28] 可以做
[28:29] 所以说你其实是内心不断的在思考
[28:32] 它这片其实主要想说明的重点是什么
[28:35] 想要重点是说
[28:37] OK我执行了一个Action
[28:39] 执行了一个行为动作
[28:41] 然后完了之后我会获得某种反馈
[28:43] 就比如刚才插钥匙孔
[28:44] 对吧
[28:45] 我把这个行为
[28:45] 我做了这个行为之后
[28:47] 我会发现环境给我一个反馈
[28:49] 钥匙插不进去
[28:51] 这是环境给你的一个反馈
[28:53] 然后我需要根据这个反馈
[28:54] 我再进行一个推理
[28:55] OK既然这个插不进去
[28:57] 那说明这个把钥匙不对
[28:59] 不配对
[28:59] OK我需要再换另一个钥匙
[29:03] 对吧
[29:03] 然后我再来去做
[29:04] 我就修正了我们的一个Action
[29:07] 所以说它相比于C看的不同在于
[29:09] 这C看就是说从最开始
[29:10] 刚才那边最开始的时候
[29:12] 我就规划完了
[29:14] 对我就规划12345步
[29:16] 然后我就按照12345步去做
[29:18] 对吧
[29:18] 它没有考虑说
[29:19] 我中间如果环境缓快
[29:21] 就比如说这个不行
[29:22] 这个任务我做不了
[29:23] 然后我从头再去做一个新的规划
[29:25] 和纠正我的任务
[29:27] 这没考虑
[29:27] 然后它是把这个考虑进去了
[29:31] 做了这样的一步
[29:32] 然后当然这个是大致它的Showcase
[29:36] 可以看到它中间的一个思考的
[29:38] 等等的一个过程
[29:39] 有点像咱们COT的过程
[29:41] 对机器人来说
[29:43] 对吧
[29:43] 就是做没有做的
[29:44] 对
[29:46] 可能时间关系就不放太多
[29:49] 下面就是说是我们的一个工作
[29:52] 我们当时也是23年上半年时候有一个工作
[29:54] 然后当时我们也做了人行新鲜
[29:56] 然后所以做了一个
[29:58] 当时在仿真主要在仿真里面
[30:00] 然后做了一个相应的这样一个工作
[30:02] 然后这个是在刚才说的
[30:04] InnerModernLog技术上
[30:05] 又进一步的去改进
[30:06] 因为刚才开开了InnerModernLog
[30:08] 它获取环境的反馈的时间点
[30:11] 是在OK我执行完了这个任务之后
[30:14] 我再看
[30:14] 就比如说我已经做了一下
[30:16] 它这个动作
[30:16] 然后我发现好像不行
[30:19] 失败了
[30:20] 然后OK我重新规划一个
[30:22] 但是这里面会有一个问题
[30:24] 就是说
[30:24] 如果说在中间某一个人里面的任务
[30:27] 执行的时间相对比较长的话
[30:29] 你如果要等到这个任务完了之后
[30:32] 我再给一个high level的一个反馈
[30:34] 再做high level的planning
[30:36] 那么可能中间执行的过程中
[30:37] 就这个时间就会被浪费了
[30:40] 所以说我们给了一个
[30:42] 就是说更加
[30:45] 及时的这么一个反馈
[30:47] 那么给的例子是这个
[30:48] 就比如说机器人搬箱子
[30:49] 对吧
[30:50] 我从一个桌子
[30:51] 我告诉他从一个桌子要搬到另一个桌子
[30:52] 然后他会规划出来
[30:53] 一二三十五步
[30:54] 我先拿起来
[30:55] 然后再走过去再放或者等等
[30:57] 然后完了之后在执行过程中
[30:59] 我有一个非常及时的一个反馈
[31:01] 这是用一个视觉语言模型
[31:03] VLM
[31:04] 然后来去作为detector
[31:06] 那这个detector是实时的
[31:08] 基本上我们是大概10赫兹的
[31:09] 这样的一个频率
[31:11] 实时的去观测
[31:13] 我当前的这个任务
[31:15] 比如说我正在搬运的这个任务
[31:17] 有没有什么异常的情况出现
[31:19] 比如说搬着搬着的过程中
[31:21] 这个箱子突然掉了
[31:22] 这个时候我可以及时的
[31:25] 及时的去发现它
[31:26] 然后并且马上进行一个思考
[31:28] 那么我要蹲下来
[31:30] 去把这个箱子再去捡起来
[31:32] 然后再继续走
[31:32] 对吧
[31:33] 如果是刚才的in the morning那个的话
[31:35] 我可能得等到这个箱子掉了
[31:37] 我可能并不知道
[31:38] 然后等到了最后了
[31:41] 已经走到我的目的地了
[31:43] 才发现这个箱子没有
[31:44] 那我得回去再找
[31:45] 这样的话效率就会比较低
[31:48] 所以这一篇
[31:49] 主要的
[31:49] 改进是说
[31:50] 我加了一个更实时的
[31:51] 这样的一个反馈
[31:52] 用VLM来去做的
[31:54] 整个模型架构
[31:55] 其实也是去实现
[31:57] 刚才的这样一个做法
[31:58] 然后跟我们的语言模型去配合
[32:00] VLM主要是去监测
[32:02] 那么我们的任务执行过程
[32:04] 是否是正确的
[32:06] 是否是正常的
[32:07] 然后language model
[32:09] 然后会进行相应的一个是
[32:11] task planning
[32:12] 然后还要就是说
[32:13] 那么如果出现了异常
[32:14] 我怎么去进行重规划
[32:16] 所以LLM和VLM
[32:18] 他们是配合起来用的
[32:19] 对吧
[32:20] 对配合起来用的
[32:21] 就是LM还是做主要做思考
[32:24] VLM还是主要是看环境
[32:25] 感知环境
[32:26] 对感知环境
[32:27] 对就像刚才的
[32:29] 咱们画的图上面的这样的一个作用
[32:32] 对
[32:32] 然后我们就做了一系列的试验
[32:34] 可以在机械臂上
[32:35] 然后也可以在
[32:36] 比如说机器上
[32:38] 做相应的这个实验
[32:41] 具体的可能也不用播放
[32:44] 所以因为刚才是这样的一个
[32:47] 然后后面还有一个大家想
[32:49] 进一步的想把
[32:50] 比如说Action的这一部分
[32:52] 那么进一步的去自动化
[32:55] 比如说刚才的话
[32:56] 我们Action部分可能还是说
[32:57] 我们自己首选了一些
[33:01] 要么是自己编程的这样的Action
[33:03] 或者是说我首选了一些model
[33:05] 对吧
[33:06] 这个时候他想把这一部分
[33:07] 进一步的自动化
[33:08] 那么这一部分他想的是什么
[33:09] 就因为我们知道语言模型
[33:11] 它可以自动的编码写程序
[33:14] 对他就把这一部分的程序
[33:16] 让机器让我们的AI
[33:19] 让软轨迹model来帮我们去写
[33:21] 这里面比较有代表性的是
[33:24] 李飞飞比较有名的一个工作
[33:25] 叫Vox Poser
[33:26] Vox是大概是指空间的意思
[33:29] 然后Poser就是pose
[33:31] 其实是关于你的pose
[33:33] 就是你的未知
[33:34] 所以因为李飞飞他那边空间智能
[33:37] 大家都知道他这个空间智能
[33:38] 所以说他是用世界语言模型
[33:42] 来去对空间你怎么去移动
[33:45] 比如说你空间轨迹
[33:46] 我机械臂要怎么去避障
[33:47] 然后怎么去移动
[33:49] 怎么去来执行我的任务
[33:50] 任务进行一个reasoning
[33:53] 对然后它是最终以代码的形式去写出来
[33:56] 因为机器人最终底层
[33:58] 还是执行一些相应的代码
[34:01] 就比如说它这的话一个VLM可以看
[34:05] 看到当前的场景
[34:06] 然后你的language model可以
[34:09] 就是take in
[34:09] 比如说我的某一个指令
[34:11] 然后它可以进行reasoning
[34:13] 然后这两个模型共同来的
[34:15] 因为VLM可以得到空间的信息
[34:17] 然后language model可以得到
[34:19] OK我跟任务相关的
[34:20] 这样的一个信息和推理
[34:21] 然后这两个共同来写一个程序
[34:24] 然后这个程序来去调用机器人底层的一个model
[34:28] 底层的一些控制
[34:31] 然后来去共同完成这个任务
[34:33] 就比如说它会写一个叫offerance map
[34:36] 这样的一个程序
[34:37] 然后这个程序是会把
[34:40] 就比如说这个空间里面哪些点是我们的目标点
[34:44] 就比如说我要开抽屉
[34:46] 然后这个map可以给出来
[34:48] 然后它也给一个比如再写一个constraint map
[34:50] 就是冲一点哪些是障碍物
[34:52] 在这个空间里面
[34:54] 然后把这个图给画出来
[34:55] 然后完了之后
[34:56] 我就可以用这样一个轨迹优化的方法去配画
[35:00] coding是赛博世界的环境什么
[35:03] 这是我刚学的一句话
[35:05] 对因为写如果做机器人
[35:07] 就知道你底层让他怎么做起来
[35:09] 其实你要写一些程序的
[35:11] 对它像你把这部分自动化了
[35:15] 然后世界圆模型和圆模型
[35:16] 来自动的写机器人代码
[35:18] 对这里还有其他一些工作
[35:20] 像code as policy或者等等
[35:22] 然后包括CHIGB刚出来之后
[35:23] 微软就搞了一个工作
[35:24] 让CHIGBT来写机器人的代码
[35:28] 李飞飞这个工作是什么时候的
[35:30] 23年了
[35:31] 就是他做世界模型的时候
[35:33] 同步的是这个非常重要的工作
[35:36] 这个我理解不算是世界模型
[35:38] 当然他其实没有一直没有公开
[35:41] 就是他所说的世界模型
[35:43] 然后具体是怎么样的方法来去做的
[35:46] 对但是我理解这个应该还是
[35:48] 不太属于世界模型
[35:50] 但是比如说这个方法
[35:51] 它展现出来的效果也是
[35:52] 因为大家的目标
[35:53] 大家的目标都是想说
[35:54] 我给一个语言的一个input
[35:57] 然后怎么召集钱
[35:58] 就自动化的做各类事情了
[35:59] 我刚才说的
[36:00] 刚才我们讲到的这几个方法
[36:02] 就是说OK怎么样结合语言模型
[36:04] 怎么样去世界演模型
[36:06] 怎么样加他的coding能力
[36:07] 再结合现有的机器人的
[36:09] 一些算法方法
[36:11] 一些工具
[36:12] 然后来共同完成这个目标
[36:14] 但是就是我还认为就是说
[36:17] 这样的方法
[36:18] 的话比较难让我们达到最终真正的通用
[36:21] 因为你没有去构建一个
[36:24] 就是真正对机器人的单独的一个模型
[36:27] 就是你还是说做的是语言模型
[36:30] 是吧
[36:30] 就是说我们需要我们的模型
[36:32] 它需要具备机器人的
[36:34] 具身的各种能力
[36:35] 就这个模型本身就该具备
[36:37] 这个foundation model本身
[36:38] 它就该具备我们的比如说
[36:42] 机器人执行任务的能力
[36:44] 是吧
[36:44] 但是之前你直接用语言模型
[36:46] 其实没有的
[36:47] 它本身只是
[36:48] 在语言的模态或者在视觉的模态上面
[36:51] 进行相应的一个训练
[36:53] 只不过你把它跟机器人的一些工具
[36:54] 拼接了一下
[36:55] 是一个间接的使用
[36:58] 然后我认为这个是并不能帮助我们
[37:00] 真正通向我们最终想要的这样的一个
[37:02] 通用的机器人大模型的
[37:04] 这样的一个方法的
[37:05] 当然就是说现在还是大量的工作
[37:07] 其实是集中在这一块
[37:08] 因为毕竟你又因为这一块会比较难
[37:11] 对吧
[37:11] 你要重构一个机器人的foundation model
[37:14] 这块的话
[37:14] 你有现成的比如CHIGBT可以直接调用
[37:17] 所以第一种就是利用
[37:18] 现有的一些foundation model去做机器人
[37:20] 第二种是重新基于机器人
[37:22] 然后再Pretraining一个foundation model
[37:25] 对Pretraining和Findtuning
[37:27] anyway你需要进行很多模型架构层面
[37:29] 训练数据的构建还有等等
[37:31] 就是说你得
[37:33] 对总之目标就是说我重新搞
[37:35] 对我重新做一个机器人的foundation model
[37:38] 它的架构就跟语言模型这些是不一样的
[37:41] 这个很难
[37:43] 对这个就会难一些
[37:45] 当然很多程度也会借用语言模型或者
[37:48] 哎呀
[37:48] 其他的大模型的它的一些基础
[37:51] 你会直接借用这样的很多的一些基础
[37:53] 但是总之的话
[37:54] 你整个的架构的设计
[37:55] 肯定是跟一个单纯的语言模型会不一样的
[37:58] 对
[37:59] 然后回到刚才提到的就是说这个重点
[38:01] 一个是我们模型的架构
[38:03] 然后完了之后
[38:04] 就是它配合的算法
[38:06] 然后这些定下之后
[38:07] 它会决定我机器人
[38:09] 比如说可以用哪些形态
[38:10] 对吧
[38:11] 那我的数据是怎么样
[38:12] 那么就会设下我数据怎么收集
[38:14] 然后我本地去怎么去找
[38:16] 就是这里面会辐射到
[38:18] 很多跟其他相关的其他技术
[38:19] 你得配套好
[38:20] 但是说这个架构模型本身的话
[38:23] 是最核心的点
[38:25] 然后去决定所有其他它下游的各种事情
[38:29] 但是其他各种下游事情也有非常多的
[38:32] 一些不管科学上还是说工程上的难点去攻克
[38:36] 对
[38:36] 那么下面可能主要我们就进入到这一块
[38:38] 就是说我们配training一个Foundation Model
[38:41] For Robotics
[38:43] 直接是单独单语模型
[38:44] 那么这就带到我这边所定义的
[38:47] 这个VOA模型
[38:48] 那么认为我们想要做的VOA模型
[38:50] 它一定是一个端到端的模型
[38:52] VOA的话
[38:53] 这边给了就是给这三个模态
[38:55] 视觉
[38:56] 然后语言的指令
[38:57] 然后OK
[38:58] 直接输出我对应的动作
[39:00] 对吧
[39:00] 然后我们人其实是一个满智能的一个VOA
[39:04] 这样的一个agent
[39:06] 当然后面会讲到
[39:07] 就是说肯定是还会是不止这几种模态
[39:10] 我们的输入可能不止这
[39:12] 并不止这两种模态
[39:13] 我们叫它通感
[39:15] 我们的输出可能也不止是
[39:18] 不止是动作
[39:19] 因为你还可以想象
[39:20] 对吧
[39:21] 你还可以想象你一个画面或者等等
[39:23] 这个就会跟后面我们讲的世界模型
[39:25] 会相关起来
[39:26] 但是因为就是说
[39:27] 如果说我们就看单纯的VOA模型的话
[39:30] 大概就是你可以理解为端到端模型
[39:33] 包含这三种模型
[39:34] 但它其实这个概念是可以去扩展到更
[39:37] 广的一个概念
[39:38] 对
[39:38] 那么这套VOA模型虽然当然它很新
[39:41] 就是基本上拆机出来之后才逐步开始的
[39:46] 但是
[39:47] 这个领域
[39:48] 发展的也比较快
[39:49] 所以可以看到我这儿列出来的
[39:52] 也已经有蛮多paper
[39:53] 大概接近20篇的论文
[39:57] 然后其实这个也只是这里面的一小份
[39:59] 但是我是截取着里面最经典的一些工作
[40:02] 然后进行了一个分类
[40:04] 按照它的方法和发展的脉络
[40:07] 我进行了一个分类
[40:09] 然后也有一些对未来方法的一个畅想
[40:12] 那么下面我可能会逐一介绍一下
[40:15] 对
[40:16] 然后第一个类就是说
[40:18] 直接用transformer
[40:20] 直接基于transformer来去构建
[40:22] 因为transformer
[40:24] 我们原模型的transformer
[40:25] 它其实是一个非常通用的这样的一个架构
[40:28] 对吧
[40:29] 然后我们的语言通过语言的text encoder
[40:32] tokenizer
[40:33] 它可以处理语言
[40:34] 然后那么刚才说的我们的AO
[40:36] 对吧
[40:37] VLA我们的AO可以处理
[40:39] 然后本质上的话理论上你的vision也可以
[40:44] 用这样的方式去处理
[40:45] 输入到transformer里面
[40:46] 对吧
[40:46] action也可以
[40:48] 对
[40:48] 所以基于这样的思想
[40:49] 大家就是说
[40:50] OK
[40:50] 那么直接我们构建一个transformer的一个变体
[40:55] 然后去构建这样的VA模型
[40:57] 那么我可能想先讲讲非常有名的Aloha
[41:00] 虽然它并不是一个VA模型
[41:03] 因为它没有L
[41:04] 它没有language
[41:05] 这个模态的处理
[41:07] 但是因为它也是非常重要
[41:08] 也是基于transformer
[41:09] 所以还讲一讲
[41:11] Aloha的第一篇论文是23年的这一篇
[41:14] 它最终活起来的是它24年的一篇
[41:18] 然后23年它的第一代就出来了
[41:20] 而这一代模型它叫
[41:21] Learning fine-grained by manual manipulation with no-cost hardware
[41:25] 对吧
[41:26] 就是它实际本质上是构建了一个比较低成本的
[41:30] 因为它想打的亮点是
[41:31] 首先我构建一个很低成本的
[41:33] 这么一个机械臂的系统
[41:35] 双臂的操作的系统
[41:36] 但是却可以执行非常的这样的一个精细的操作
[41:41] 一会我们看到大概能到多进行的一个程度
[41:44] 然后所以我们看到其实原始的Aloha它其实
[41:48] 比较非常简单
[41:49] 这是满低价的一个
[41:50] 然后它还把这个相应的
[41:53] 你拿来买这个币
[41:54] 然后这套系统怎么搭建整个去开源了
[41:57] 包括它的算法
[41:58] 也都开源了
[42:00] 这里面我们可以看到就是说
[42:02] Aloha里面提出来一个比较重要的一个
[42:05] 可以拿来做机器模型的架构
[42:07] 叫ACT action chunking transformer
[42:09] 你看到它基本上是一个标准的
[42:12] Encoder decoder transformer的这样一个架构
[42:14] 然后但它比如它的输入的话
[42:16] 它可以把机器
[42:18] 我们的各种视角输入
[42:20] 这里面的话机器它有四个摄像头
[42:22] 这个机器
[42:23] 然后每一个通过一个CNN
[42:25] 然后完了之后
[42:26] 输入到Transformer里面
[42:27] 然后再通过这样的Decoder输出Action的Sequence
[42:32] 就是OK那么未来一段时间
[42:34] 我该执行哪些Action的动作
[42:37] 然后它这Action chunking是什么意思呢
[42:39] 其实是一个
[42:40] 因为你每一个时间点
[42:42] 我们看这Time T
[42:44] 就比如说Time T等于0的时候
[42:46] 你要输出未来四个点
[42:47] 当然它实际
[42:48] 实时会更多
[42:49] 它这是一个示例
[42:50] T等于1的时候又输出
[42:52] 从这个一时刻的这四个动作
[42:55] 对吧
[42:55] 这样依次内推
[42:56] 然后完了之后
[42:57] 它是做了这么一个事情
[42:59] 就比如说
[43:00] 这个T等于3的时刻
[43:02] 它是把它前面T等于2 1 0
[43:05] 这几个
[43:06] 这几个这个Action sequence里面
[43:08] 对应的时刻点
[43:10] 然后做了一个加权平均
[43:13] 做了一个加权平均
[43:15] 然后这样之所以这样做呢
[43:16] 是因为它
[43:18] 做了他们叫所谓Temporal Ensemble
[43:20] 这样的形式
[43:21] 就是说
[43:22] 虽然理论上我只需要
[43:24] 找最新的
[43:25] 规划出来的这个输出
[43:27] 然后把这个点就可以
[43:28] 但是它把
[43:29] 历史的
[43:30] 这个几个时刻点的规划
[43:32] 一起做了一个加权平均
[43:33] 这样就达到了一个
[43:34] 这个
[43:35] 光滑Smoothness的这么一个效果
[43:37] 你可以让Trajectory更加Smooth
[43:40] 更加顺滑
[43:42] 对是为了这个主要
[43:43] 这是一个小改进
[43:44] 是这样按时间
[43:46] 是这样
[43:47] 这个也涉及到这个
[43:48] 涉及到一个叫模型预测控制的概念
[43:50] 它本质上这个是一个模型预测控制的概念
[43:53] 对就是模型预测控制什么
[43:54] 就是说你
[43:55] 每时每刻我会规划我未来的一段时间的
[43:58] 这个Action
[43:59] 会采取什么样
[44:00] 每一个时刻点
[44:01] 这个时刻点可能会以很高的一个频率
[44:03] 比如说这个10赫兹或者甚至100赫兹
[44:05] 甚至更高的一个频率
[44:07] 总之是你是一个Action的一个Trajectory
[44:09] 从当前时刻点到未来
[44:12] 对然后
[44:13] 一般就是说有标准的做法就是我只选择
[44:16] 我这个Action里面第一步
[44:17] 我只需要执行当前这一步
[44:19] 对吧
[44:19] 执行完了之后我下一步我又重新做一个规划
[44:23] 我再采取这第一步
[44:24] 这个是模型预测控NPC的这个概念
[44:27] 然后
[44:28] 当然就是说传统的NPC你是靠优化或者等等的方法计算出来
[44:33] 这Action是什么
[44:33] 当然这儿
[44:34] 像这个Aloha的话它是用
[44:36] 这个模型
[44:37] 用模仿学习
[44:38] 然后直接学出来这样的一个Transformer的模型
[44:40] 然后直接去模型
[44:42] 往神经网络来输出这样一个Action的Sequence
[44:45] 然后但它做了这个小的处理是什么
[44:47] 就是说
[44:48] 比如说你第0时刻
[44:50] 对吧
[44:50] 第0时刻的你Plan的这个Action已经包含了第4个时刻了
[44:55] 第3个时刻 T等于3个时刻了
[44:57] 对吧
[44:57] 然后T等于1时刻的时候它也会包含它的第3个时刻
[45:01] 就
[45:01] 其实就对应你的这个T等于3的时刻
[45:04] 对吧
[45:05] 然后一直到T等于3
[45:06] 所以说
[45:07] 你当前这一步的这个Action的话
[45:09] 其实你可以在之前的几步的这个Planning中
[45:13] 然后都能够找到它对应的这个时刻点
[45:17] 对
[45:17] 稍微有点抽象
[45:18] 但是说你可以认为就是说
[45:21] 你把历史上的一系列规划的点
[45:23] 然后把它Align好的这个时刻点
[45:26] 然后
[45:28] 都找到
[45:29] 最近的几个时间
[45:30] 然后做了一个平均
[45:32] 做了一个加权平均
[45:33] 这样可以让它更Smooth
[45:35] 是个小的一个处理
[45:37] 但是其实ACT就是这么来的
[45:40] 就是这个意思
[45:41] 这个是Aloha
[45:43] 然后可以看就是说它这个特点
[45:44] 虽然它不是一个
[45:46] 本质意义上的VLA
[45:47] 就是我们需要的VLA
[45:47] 它是我能直接take language作为输入
[45:50] 然后
[45:51] 然后我可以通用的做各种各样的事情
[45:54] Aloha办不到
[45:56] 虽然它很厉害
[45:57] 但是它办不到
[45:58] 它还是一个模型做基本上
[46:00] 基本上一个模型做一个任务
[46:01] 但是它的特点是在于
[46:03] OK我用很低成本的这样的一个硬件
[46:06] 就能做非常精细的工作
[46:08] 那比如说这
[46:09] 这我们看到
[46:10] 可以直接
[46:11] 夹起这个电池
[46:13] 然后把它放到这个
[46:15] 电池盒里
[46:17] 双臂一起配合
[46:18] 这个其实挺难的
[46:20] 蛮精细的
[46:22] 对
[46:27] 对
[46:28] 还是非常厉害
[46:29] 当时23年的时候做的
[46:31] 然后这个是
[46:33] 这是谁的工作来着
[46:35] 就是
[46:37] Chelsea主力的
[46:38] 这个工作
[46:39] 斯坦福那边
[46:42] 它叫这个系统叫你好
[46:44] 对在那个夏威夷
[46:47] 语里面
[46:47] 不知道你去没有去过夏威夷
[46:49] 在夏威夷的Aloha就是你好
[46:51] 打招呼夏威夷人
[46:52] 这边打招呼的语言
[46:54] 所以
[46:55] 美国人非常喜欢在美国的同学都很喜欢去夏威夷
[46:58] 对所以应该是这个数字
[47:00] 这样一个启发吧
[47:04] 比较喜欢用一些女人化的方法来命名
[47:07] 机器人的各种系统
[47:10] 包括这个
[47:12] 对
[47:13] 都是满精细的工作
[47:15] 对当时这个出来我看到还是非常
[47:18] 觉得非常impressive的
[47:19] 因为之前没有见过机器人做
[47:21] 这样精细化的工作
[47:23] 不过这一篇论就是他的这是他第一代23年的时候还没有只是在圈内
[47:28] 就是引起一些关注但还没有真正出圈
[47:32] 真正出圈是他的这个MobileAloha
[47:35] 24年的时候
[47:36] 做出来的
[47:37] 他们做的就是他的继续的工作
[47:40] 对对对对对
[47:41] 然后这个工作呢就是他什么他叫Mobile就是之前刚才那个工作只是个双臂固定在桌面上的
[47:47] 这儿你会看到他带了一个
[47:49] 移动的系统
[47:51] 这里面他还是蛮有意思的就是说
[47:54] 首先上一篇论文他给了一种非常好的摇操作的方式就是一一映射
[47:59] 我们看到有个主动臂有个有个有个重动臂
[48:02] 就是这儿动图可能没找但大概就是说
[48:06] 这个臂我们看到他手是他手握着的
[48:09] 基本上你怎么去
[48:11] 你这个怎么去动会一一映射到前面这个臂
[48:14] 所以说这个臂是
[48:15] 跟你的人手是做的同样的动作
[48:18] 所以你通过这个方式
[48:20] 这样摇操作的方式来
[48:21] 去让
[48:23] 前面的这个机械臂
[48:24] 来去做
[48:25] 相应的一些任务然后并且把这个数据就能
[48:28] 记录下来
[48:28] 然后我可以进行模仿学习
[48:30] 相当于是学人的这个动作
[48:32] 然后
[48:33] 这套方法是在
[48:34] 这个
[48:36] 这个这个上一篇论文他们提出来的
[48:38] 然后这篇论文呢就是说他下面加了一个底盘
[48:41] 然后人可以推着这个底盘推着这个车走
[48:44] 他就把
[48:45] 这样你这个系统就可以移动了这个双臂就可以移动了
[48:47] 你可以边走边坐或者走到一个地方再干一些工作
[48:51] 他这个也是给的比较有意思的就是
[48:54] 就是说他是直接把人捆在这
[48:56] 这样工作但这其实是蛮有好处的因为之前的很多摇操作的话他其实是间接的比如说你拿
[49:03] 遥控器去控制或者等等
[49:05] 其实都没有人直接推一个东西这样精准
[49:08] 包括这个手臂也是你直接握着一个臂来去做
[49:11] 对吧然后你就会有相应的一些感觉
[49:14] 你可能是会比凭空的一些方法
[49:17] 会更精准一些
[49:20] 对所以这块创新也是蛮
[49:21] 蛮有意思的
[49:22] 然后所以说这篇论文是他最终出圈的
[49:25] 如果大家记得24年初的时候他发布一系列的
[49:28] 这个视频
[49:29] 最经典的这个炒虾
[49:31] 然后可能了解的都能记得
[49:33] 然后所以说这个
[49:35] 这个当时后来就
[49:37] 这篇工作出来之后就出圈了就感觉谁都知道
[49:40] 这个阿罗哈
[49:41] 这是他们第二代的这个工作
[49:43] 他24年1月这个是
[49:44] 他是成本很低是吗做这个的
[49:47] 对成本蛮低的
[49:49] 其实整个一套也有个
[49:51] 加起来
[49:52] 那就是
[49:53] 三万多美金嘛
[49:55] 加起来有20多万人民币
[49:57] 还可以更低
[49:58] 如果只是这一套的话
[50:00] 如果我们做可以做
[50:01] 做在
[50:02] 低很多
[50:04] 对然后是
[50:05] 所以这一套是这样的一个
[50:07] 阿罗哈的一系列工作
[50:08] 当然就是我提到他很重要的
[50:10] 但他还是
[50:11] 严格意义上他并不是一个VOA
[50:15] 然后
[50:16] 可能接下来想这样讲这篇工作叫Gato a Generalist
[50:19] Agent
[50:20] 这是DeepMind做的
[50:21] 所以我们看到现在
[50:23] DeepMind不是后面和Google都合并吗
[50:25] 这个是在22年的时候
[50:27] 很早
[50:28] 很早的一篇工作但是我认为还是当时是非常有远见的一个
[50:32] 工作
[50:34] 一个通用的Agent
[50:35] 对一个通用的Agent
[50:37] 他的思想就是一个统一的模型
[50:41] 然后他能做各种各样的任务
[50:43] 这里面的任务包括了
[50:45] 对这个视觉相运的任务包括了语言的对话
[50:48] 包括了VQA
[50:50] 然后也包括了
[50:51] 机器人的行为控制
[50:54] 对这个想法也是非常非常超前其实这就是我们最终想要的一个目标
[50:59] 当然就是那个时候的
[51:01] 模型或者是技术还不够成熟
[51:03] 所以说
[51:05] 他其实直接就是一个Transformer
[51:07] 然后把各种各样的模态全都加起来就是一个Transformer
[51:10] 各种模态加起来然后
[51:12] 然后来去训练
[51:13] 然后也有一定的效果
[51:15] 就比如说也能做一些VQA他也是搞了蛮多的数据和训练包括一些语言的对话
[51:21] 包括这个机器人的
[51:23] 这个相应的一些动作
[51:24] 但是每一块呢就是性能都不是特别好
[51:28] 毕竟
[51:29] 二年的时候其实CHI GPT都还没出现
[51:32] 对对当然说
[51:34] 那个当时我看到这篇论文我也觉得这个有点
[51:37] 扯
[51:40] 因为那个时候CHI GPT都没出现
[51:42] 我觉得你就硬怼一个Transformer一个模型真能怼出一个generalist
[51:47] 就是当时是
[51:48] 这么想的但后来
[51:50] CHI GPT的出现还是
[51:51] 很大的改变了我的一个想法就是因为在那出现之前的话就
[51:56] 还是会
[51:57] 对吧就不光说我其实大部分人都会还是会怀疑对吧
[52:01] 你去
[52:02] 就怼这样一个模型深怼数据和这个残量
[52:06] 就能怼出来吗就是当时
[52:07] 见证力还是很多人还是很怀疑的
[52:10] CHI GPT出来之后因为
[52:12] 每个人都能感知到他
[52:14] 你感知之后就觉得
[52:16] 这个确实是很智能
[52:18] 然后就开始相信
[52:20] 这件事情可以去
[52:21] 但是这篇论文他们是做得非常早的应该是20年的时候
[52:24] 那个时候连CHI GPT都还没有
[52:26] 原模型都还没有做通
[52:28] 然后他直接搞
[52:30] 这样的一个通用模型去上
[52:33] 确实就是说只能搞搞很简单的
[52:36] demo就虽然我们现在搞的事情也都是demo但是他搞的是很简单的demo
[52:42] 所以是这样的一个工作
[52:44] 那就后面
[52:45] 后面他们就开始
[52:47] 专门往机器人上面
[52:49] 把它做得更好了
[52:51] 就是有了第1个Robotics Transformer
[52:54] RT1
[52:56] 然后基本上他还是类似于Gato
[52:58] 也还是基于Transformer来去训练
[53:00] 但是呢
[53:01] 他是就比这个模型就比较专业在机器人上面
[53:05] 专门做机器人行动
[53:06] 刚才讲Gato的那个工作的话他把
[53:08] 什么就全都视觉全部都
[53:10] 放进来了
[53:11] 然后
[53:12] 但是发现肯定发现这个效果不太好嘛
[53:15] 技术还没到
[53:16] 所以他们就回过来我再把机器人这块再好好搞一个
[53:20] 然后这块
