[00:12] Hello 大家好,我是小骏
[00:14] 今天这期节目我们来到了美国纽约
[93:32] 所带来的
[93:34] 我觉得这件事情
[93:35] 我会倾向于
[93:37] 同意这种更柔软的表述
[93:39] 我觉得
[93:40] 如果能让在这个世界上的所有的人
[93:44] 因为我们做的研究
[93:46] 能够对问题多了一层新的认识
[93:48] 多了一层新的了解
[93:50] 那这个地球上的智能总量就会被提上去
[93:54] 但地球上智能总量
[93:56] 提升这件事情
[93:57] 这件事情永远不是一件错误的事
[94:00] 它永远是一个对世界来说有利的事
[94:03] 不管是impact也好
[94:05] 还是被更多的人理解也好
[94:07] 你希望被更多的人认识和记住吗
[94:11] 你对这种fame是有需求的吗
[94:14] 我当然没有这个需求了
[94:16] 你没有这个需求
[94:17] 但我觉得我没有这个需求
[94:19] 真的吗
[94:20] 或者说我站在我现在这个角度
[94:23] 我其实是某种虚假的fame的一个受害者
[94:27] 原因是现在大家会把我们的一些论文
[94:31] 放到小红书上去议论
[94:33] 然后其实这件事情没有一个
[94:36] 或者说大家说所谓什么三大会
[94:38] 然后要宣传工作
[94:40] 我从来没有一次要求过任何一家这样的媒体
[94:46] 去做这样的宣传
[94:48] 然后我跟我的学生说
[94:51] 你们千万不要去什么去小红书
[94:53] 去什么知乎去宣传自己
[94:56] 你可以去解释你的工作
[94:57] 你可以去评论你的工作
[94:58] 没有问题
[94:59] 不要去宣传自己的工作
[95:01] 为什么在X上是可以的呢
[95:03] 我觉得X上面更多的还是看怎么叫做宣传
[95:10] 我觉得我更focus的东西还是说
[95:12] 把这件事情稍微凝练总结
[95:15] 然后告诉大家是怎么回事
[95:16] 更有点像吸引大家去看我的工作
[95:19] 我觉得这件事情没有问题
[95:20] 但我说的宣传更像是你说的fame这件事情
[95:24] 因为我真的很不能够
[95:26] 我能接受的事情是大家现在会说
[95:29] 某某某团队发表了什么什么工作
[95:33] 会强化那个人
[95:34] 会强化这个人
[95:35] 某个人的团队
[95:36] 会强化这个人
[95:37] 对
[95:38] 如果有小编们听到这件事情的话
[95:41] 希望大家以后能够不去说这件事
[95:44] 不能写谢在你团队上
[95:46] 不要把我的照片放在上面
[95:47] 不要把我的名字放在上面
[95:49] 我们需要更加鼓励年轻人
[95:52] 真正做出这个工作的人
[95:54] 让他们有更多的visibility
[95:56] 对吧
[95:57] 那他也可能会觉得你是一座
[95:59] 对
[96:00] 如果我是一座的工作
[96:01] 没问题
[96:02] 但我不是一座
[96:03] 我只是这个团队的负责人
[96:05] 然后很多这些工作都是学生做的
[96:08] 那应该叫什么呢
[96:10] 不叫写在你团队
[96:12] 就事论事就好
[96:14] 讲这件事情解决了什么问题
[96:17] 然后它为什么重要
[96:19] 我觉得就够
[96:21] 你不讨厌被别人拿出来当靶子是吗
[96:25] 对啊
[96:26] 因为我觉得这件事情会增加增加很多的风险吧
[96:30] 我觉得
[96:31] 嗯
[96:32] 嗯
[96:33] 那你来讲讲那些影响过你的人吧
[96:35] 其实刚才我们已经讲过几个人了
[96:37] 凯明涂教授还有吗
[96:39] 嗯
[96:40] 是
[96:41] 嗯
[96:42] 我觉得
[96:43] 对吧
[96:44] 这个是是在是在fair
[96:45] 那其实可以顺着fair往下讲
[96:46] 那就是说fair结束之后
[96:48] 那那我就来nyu了
[96:50] 我觉得这又是一个decision making point
[96:53] 嗯
[96:54] fair待了4年
[96:55] 对
[96:56] ok
[96:57] 是的是的
[96:58] 嗯
[96:59] 也是起起伏伏
[97:00] 对我我刚刚说我很多去的地方
[97:02] 其实都跟这个这个地方共同成长
[97:04] 可能fair是一个例外啊
[97:06] 我去的时候是他的顶顶是高点啊
[97:09] 可能是高点对
[97:10] 然后啊
[97:11] 现在
[97:12] 对也很可惜吧
[97:13] 现在在在那里发生的事情
[97:15] 啊
[97:16] 但我觉得也嗯
[97:18] 对我因为我跳船跳的比较早
[97:20] 所以我也不是在在他在他这个这个这个谷底的时候才才离开
[97:25] 对啊
[97:26] 嗯
[97:27] 我我我觉得我也是看到了一些迹象
[97:28] 对
[97:29] ok
[97:30] 啊
[97:31] 然后
[97:32] 但是对然后然后我觉得如果如果说影响我的人的话
[97:35] 那在这个过程中去nyu的时候
[97:37] 我觉得这又是一个蛮玄学的一个决策的过程
[97:40] 对吧
[97:41] 然后那个时候
[97:43] 其实
[97:44] 决定去纽约我刚其实也说了
[97:46] 是因为可能我会比较喜欢这个城市
[97:49] 然后但我觉得
[97:50] 呃另外一个很重要的事情也是因为yong在这儿
[97:53] 对yong kong在这儿
[97:55] 嗯
[97:56] 对啊
[97:57] 嗯
[97:58] 为什么他在这儿你愿意去
[98:00] 你们在fair也是共事过
[98:01] 呃
[98:02] 他会他经常会说他有recruit我就是招招了我三次
[98:08] 对吧
[98:09] 然后第一次是在fair啊
[98:11] 但那时候是因为他是这个fair的总的负责人
[98:14] 嗯
[98:15] 他是这个fair的director啊
[98:16] 我没有跟他直接的共事
[98:17] 对
[98:18] 但也当然也受到了他的影响
[98:20] 或者长期以来
[98:21] 有交流吗
[98:22] 有交流聊过
[98:23] 嗯
[98:24] 但没有直接的合作
[98:25] 嗯
[98:26] 然后去nyu是第二次
[98:28] 啊
[98:29] 第三次我们可以之后再聊
[98:30] 嗯
[98:31] 嗯
[98:32] 然后然后在nyu这段经历也是
[98:35] 我觉得我觉得为什么他在这儿非常重要
[98:38] 也是因为我觉得他是一个非常有vision的这样一个人
[98:42] 所以
[98:44] 对我觉得我觉得还是很多很直觉的这种决定吧
[98:47] 比如说nyu的教学楼
[98:49] 我们叫做这个center of data science
[98:51] 呃是就是就是
[98:53] 就是就是所谓的这种数据科学中心啊
[98:56] 这件事情其实是样前头在过去十几年之前
[99:00] 就就设立了这样一个一个组织
[99:03] 对他独立于啊
[99:05] 比如说传统的计算机系或者数学系之外
[99:08] 他是一个新的这样一个department
[99:11] 所以我们有移动新楼
[99:13] 然后第一次我踏入这个楼的时候
[99:15] 我就觉得感觉很好啊
[99:17] 因为呃完全都是玻璃门对之后有空的话可以带你过去看看
[99:21] 他他都是玻璃门啊
[99:22] 呃所有东西都非常非常open
[99:25] 然后学生有点像公司但是
[99:27] 然后配色又很好
[99:29] 对我刚刚一直说我是一个视觉动物对
[99:31] 就这个这个里面有这种暖色调的
[99:33] 然后橙色的这样一个floor
[99:36] 啊然后有各种沙发
[99:37] 然后大家
[99:38] 呃虽然虽然很混乱
[99:40] 有各种各样的机器人在地地上跑来跑去
[99:43] 然后有各各种各样的学生在这个沙发那个沙发
[99:46] 然后坐着学习啊
[99:48] 然后没有任何隐私毫无隐私可可言
[99:51] 所有的机器人
[99:52] 就在这个教授的办公室的玻璃门啊
[99:54] 看得清清楚楚
[99:55] 里面里面发生的事情嗯
[99:57] 对
[99:58] 然后但我觉得哇这个
[99:59] 很有趣
[100:00] 这个环境很有趣
[100:01] 对啊
[100:02] 现在其实越来越越多的美国的学校开始有这样的effort
[100:07] 就是说我们希望有一个
[100:09] 嗯
[100:10] 这种
[100:11] 呃interdisciplinary
[100:13] 就是跨学科的这种中心
[100:15] 对吧
[100:16] 通常来讲就是说这种ai的这这种中心啊
[100:19] 然后然后然后通过他来吸引人才
[100:22] 通过他来把不同的院系组织到一起
[100:24] 因为ai确实承担了一个这种中间层的这样一个一个一个一个一个身份和和位置
[100:31] 连接大家连接大家都都需要对嗯啊
[100:34] 不管你是做科学的对吧
[100:36] 做物理做化学
[100:37] 然后做数学做统计商学院啊
[100:41] 然后包括当然计算机科学啊
[100:43] 我觉得ai是一个很好的一个中继的什么样一个中间的节点嗯对
[100:47] 但一样的远见在于他啊十几年前
[100:51] 就把这件事情已经establish起来了
[100:54] 嗯
[100:55] 所以我觉得我觉得他这个啊是蛮visionary的一个人
[100:59] 嗯
[101:00] 对
[101:01] 然后所以nyu在ai的布局上面也很好
[101:05] 所以其实呃
[101:07] again我觉得计算机系不是他的这个学校的强项
[101:11] 但是他有很多呃ai的人才储备
[101:15] 对他汇集了很多很厉害很厉害的ai的这种这种faculty
[101:19] 嗯
[101:20] 嗯
[101:21] ,
[101:22] 我觉得是你选择nyu的一个原因
[101:25] 这也是
[101:26] 我觉得有很多很多原因
[101:27] 他是其中之一
[101:28] 因为他需要面试我
[101:29] 然后他需要最后拍板
[101:30] 对啊
[101:31] 或者说是他选择了我
[101:33] 嗯
[101:34] 重要的人还有其他人吗
[101:36] 嗯
[101:37] 我觉得还有啊
[101:38] 比如说在nyu的这个时间
[101:42] 然后我还跟很多其他的老师也有合作
[101:47] 然后对我影响
[101:48] 我觉得很大的一个人也是可能飞飞老师吧
[101:50] 对啊
[101:51] 我觉得李飞飞老师
[101:52] 嗯
[101:53] 他写的那本书大家一定要看一看
[101:54] 对就是他的自传
[101:55] 嗯
[101:56] 啊
[101:57] 然后我也读过
[101:58] 但是我觉得跟他深入交流下来
[101:59] 我觉得我的收获又更大
[102:00] 对
[102:01] 然后或者说有时候
[102:02] 我会我会跟他说
[102:03] 我遇到我面临的呃
[102:04] 这个困境和challenge
[102:05] 然后飞飞老师
[102:06] 会很语重心长的告诉我
[102:07] 他过去的一些故事
[102:08] 嗯
[102:09] 我会跟他说
[102:10] 我遇到我面临的呃
[102:11] 这个困境和challenge
[102:12] 然后飞飞老师
[102:13] 会很语重心长的告诉我
[102:14] 他过去的一些故事
[102:15] 嗯
[102:16] 嗯
[102:17] 嗯
[102:18] 嗯
[102:20] 然后这些事情
[102:21] 其实对我是一个极大的安慰
[102:22] 比如说什么样的故事啊
[102:24] 啊具体的事情可能可能
[102:26] 就不方便讲了
[102:27] 但是总之是他一路成长起来
[102:30] 其实也不是一帆风顺
[102:32] 嗯
[102:33] 他也是有有有需要
[102:35] 嗯
[102:37] 踏遍很多的荆棘
[102:39] 然后一步一步
[102:40] 克服很多的障碍
[102:41] 然后到现在
[102:42] 站在这种世界的舞台上
[102:44] 啊
[102:45] 变成一个华人骄傲
[102:47] 或者说变成整个
[102:48] 这种researchling
[102:49] 嗯
[102:50] 领域计算机视觉的一个北极星
[102:53] 啊
[102:54] 让大家能够看到
[102:56] 嗯
[102:57] 他他他他他想的想的事情
[103:00] 然后能够
[103:01] 啊
[103:02] 在某种意义上
[103:03] 制定一些新的这种路线吧
[103:06] 我觉得这件事情
[103:07] 嗯
[103:08] 对他对我的影响都非常非常大
[103:10] 嗯
[103:11] 然后我觉得飞飞老师
[103:13] 最厉害的点在于
[103:15] 他是一个能够定义问题的人
[103:18] 嗯
[103:19] 就这件事情其实也不是一个很
[103:21] 很很直观的事情
[103:22] 就是说其实
[103:23] 大家说这个飞飞老师
[103:25] 呃
[103:26] 最厉害的
[103:27] 这个这个成就
[103:28] 就是builder
[103:29] 这个image net
[103:30] 这个dataset
[103:31] 对吧
[103:32] 但事实上这个不只是一个dataset
[103:34] 这个不只是一个数据集
[103:36] 啊
[103:37] 大家可能很难想象
[103:38] 可能在过去这个时间点
[103:40] 对吧
[103:41] 然后啊
[103:42] 比如2012年
[103:43] 或者2011年的时候
[103:45] 图像分类不是一个明确的问题
[103:48] 啊
[103:49] 就是把这个问题定义清楚
[103:51] 远比build的这样一个数据集要强得多得多
[103:54] 要要重要的多得多的
[103:55] 嗯
[103:56] 嗯
[103:57] 然后
[103:58] 我觉得飞老师就是说set了这个agenda
[104:01] 把这个问题定义清楚
[104:02] 使得接下来deep learning
[104:05] 可以有一个playground
[104:06] 有这样一个平台啊
[104:08] 可以去施展拳脚
[104:09] 我觉得这件事情是是是他最厉害的地方
[104:12] 也也是我一直想学习的地方
[104:14] 嗯
[104:15] 对所以我跟他做了有两篇工作
[104:17] 一篇是thinking space
[104:19] 然后这篇论文主要也是在涉及到这种多默态的圆模型里面怎么样去解决
[104:24] 啊
[104:25] 更好的解决这种啊
[104:27] 这种空间智能的问题
[104:29] 然后最近我们有一篇paper叫啊
[104:31] cambria s
[104:32] 然后这个论文也是涉及到事情是说在视频里面啊
[104:37] 我们怎么样去定义问题
[104:39] 到底哪些问题才是重要的
[104:41] 对
[104:42] 我觉得我觉得这一部分
[104:44] 跟他的合作也帮我拓展了我research的边界
[104:48] 菲菲老师是怎么跟你熟识的呀
[104:51] 都是很机缘巧合的机会吧
[104:53] 他有一次来纽约出差
[104:55] 然后我们就一起吃了次饭
[104:58] 他跟我讲了很多很多东西
[105:01] 对
[105:02] 然后后来他经常会来纽约
[105:04] 然后因为他也在创业嘛
[105:06] 然后我们会经常一起聚一聚
[105:08] 然后聊一聊
[105:09] 对大概是这样
[105:10] 然后平时我们会在research上面会有一些meeting
[105:14] 嗯
[105:15] 我有一个好奇
[105:16] 我想
[105:17] 很多人对你的好奇
[105:19] 就是你是怎么样从一个非常年轻的开始做学术的研究者
[105:27] 然后慢慢的能够和这些AI业内赫赫有名的人走到一起
[105:32] 并且站到一起的
[105:33] 也就是说你是怎么走进AI的核心的呀
[105:39] 我还是不觉得我在AI的核心
[105:41] 或者走进AI的核心吧
[105:43] 嗯
[105:44] 因为你刚才说的这些人
[105:45] 肯定很多人都很想跟他们合作
[105:47] 是吗
[105:49] 当然是了
[105:50] 对
[105:51] 我觉得
[105:52] 而且你看你们都是一些机缘巧合
[105:55] 可能凯明是刚过去
[105:57] 你作为intern
[105:58] 让他打开了自己
[105:59] 然后飞飞老师是
[106:01] 你们也就是吃了一顿饭
[106:03] 你是怎么让他们打开自己的呢
[106:05] 我觉得这件事情很难刻意的做到
[106:11] 嗯
[106:12] 或者说
[106:13] 这件事情也有点玄学
[106:15] 我会觉得
[106:16] 你可以教他某种吸引力法则
[106:18] 或者说你可以认为
[106:20] 嗯
[106:21] 大家想法一致的人最终都会聚聚聚合在一起
[106:26] 虽然你可能有无数的小息
[106:27] 但最后可能都会汇聚到一条河流上
[106:31] 我觉得比如说
[106:33] 我上述列举的所有的人
[106:34] 他都至少是作为认的啊
[106:37] 或者说
[106:38] 或者即使包括样
[106:39] 他可以认为是做这样的AI
[106:41] 但他出发点对吧
[106:42] 也是做这种数字的识别
[106:43] 这件事情也是一个视觉的问题
[106:46] 对
[106:47] 我觉得大家的这个根基
[106:49] 还是非常非常非常非常吻合的
[106:52] 嗯
[106:53] 嗯
[106:54] 所以我觉得
[106:55] 我真的没有刻意让这件事情发生
[106:57] 对
[106:58] 然后很多
[106:59] 或者说我觉得也不需要很刻意的让这件事情发生吧
[107:01] 大家只是基于这些research的问题
[107:04] 然后对这些问题的理解
[107:06] 啊
[107:07] 然后一起合作
[107:08] 对
[107:09] 嗯
[107:10] 我觉得我会这么认为认定这个问题
[107:12] 就是从外部看
[107:13] 嗯
[107:14] 我觉得你是一个很有目标
[107:15] 然后很有逻辑的人
[107:16] 但是刚才通过我们聊
[107:18] 我发现你是一个选择上还蛮无序的人对吧
[107:21] 对
[107:22] 我觉得我觉得有一点无序啊
[107:24] 嗯
[107:25] 但我觉得这也是一个所谓bydesign的过程
[107:27] 就是我觉得我选择这样的无序啊
[107:29] 我觉得呀
[107:31] 我觉得我觉得用这个这个很老套的说法
[107:34] 就是follow your heart
[107:35] 对吧
[107:36] 但我觉得其实很多时候
[107:38] 对
[107:39] 没办法
[107:40] 就或者说我的很多选择
[107:41] 没办法真的优化一个一个结果啊
[107:44] 我觉得这是无序性的来源的
[107:47] 对
[107:48] 那在这个这么无序的选择之中
[107:50] 你能把你的这个所有的研究的历程串成一条线啊
[107:54] 刚才其实我们已经讲了几个工作了
[107:56] 是的
[107:57] 是的
[107:58] 对
[107:59] 我觉得那我们可以一点点去讲吧
[108:00] 我觉得我觉得确实一个好处是我也没那么多paper
[108:03] 所以也许可以可以比较容易的去串一串啊
[108:07] 然后我觉得确实呃
[108:10] 我觉得不能说是这个草蛇灰线吧
[108:13] 但也确实有一条呃线在背后
[108:16] 对
[108:17] 直到是我一直做这件事情
[108:19] 或者说其实说这些论文呃之前
[108:22] 我想说其实计算机视觉发展了这么长时间
[108:26] 对吧
[108:27] 我有很多朋友
[108:28] 其实大家开始慢慢去探索新的方向
[108:31] 对吧
[108:32] 比如说去做一些啊
[108:34] robotics
[108:35] 对吧
[108:36] 然后做3D的视觉
[108:38] 啊
[108:39] 我其实也也在尝试向外扩展边界
[108:42] 但回过头来会发现这条主线上
[108:45] 对吧
[108:46] 对我来说就是表征学习这件事情上
[108:48] 嗯啊有太多的问题没有解决
[108:50] 对
[108:51] 所以我希望停留在这条主线上
[108:53] 往前拓展我们所做的事情
[108:55] 所以我觉得这一切的起点可能如果往前数的话
[108:59] 当然是涉及到deep learning
[109:01] 涉及到deep neural network
[109:02] 这些architecture的design
[109:04] 我觉得这一部分当然跟你的表征学习是有关的
[109:08] 嗯然后这也是我觉得在过去大家努力的一个方向吧
[109:12] 也不不只是我的吧
[109:14] 然后所有的人
[109:15] 大家都在做这件事情
[109:16] 怎么样去design一个更好的architecture
[109:19] 使得我们能够去学到更好的表征
[109:21] 使得我们能去解决更好的解决问题
[109:24] 嗯对吧
[109:25] 然后啊再到后面其实
[109:29] 呃我觉得我觉得事情就会发生一些变化
[109:32] 我们就发现其实architecture本身不一定是最重要的
[109:36] 它一定很重要
[109:38] 但它不一定是最重要
[109:39] 或者说它不能不是事情的全部
[109:41] 所以至少有好几件不同的事情会交织在一起
[109:45] 对吧architecture是一个事情
[109:47] 就你的架构是一回事
[109:49] 然后你的数据也很重要
[109:51] 嗯好
[109:52] 然后还有就是你的objective
[109:54] 你的目标也很重要
[109:56] 对吧
[109:57] 呃我觉得架构决定了
[110:00] 啊你用什么来训练
[110:02] 我们可以想象这件事情是你有一个巨大的引擎
[110:06] 然后那那你可能引擎的这个硬件其实就是一个neonatural的架构
[110:10] 嗯
[110:11] 但是你只有这样一个引擎的架构其实是没有用的
[110:15] 你没有油
[110:16] 你没办法发动它
[110:17] 对吧
[110:18] 所以呃有数据层面跟有这种objective层面
[110:22] 这种目标函数层面的这种考虑
[110:25] 然后呃所以所以我之后的这些research其实也是按这条主线
[110:31] 对表征学习的主线围绕着架构数据objective
[110:36] 往往前走
[110:38] 嗯
[110:39] 然后呃那其实在fair的过程中
[110:43] 我觉得fair fair
[110:44] 这个正式工作fulltime工作的这个过程中
[110:46] 嗯
[110:47] 我觉得一个核心是呃我跟凯明一起啊
[110:51] 然后凯明在立的一些这种自监督学习的这样的工作
[110:56] 对
[110:57] 然后其实again
[110:58] 现在大家会说这个scaling是一个是一个是已经是一个buzzword
[111:03] 就everybody's talking about scaling
[111:04] 嗯
[111:05] 对吧
[111:06] 但其实第一个人真正有人跟我说
[111:09] 我们要做scalable这样的model
[111:11] 就我们需要把模型做的大大大
[111:14] 这是凯明的原话
[111:15] 好大大
[111:16] 对
[111:17] 呃是是凯明告诉我的
[111:19] 对
[111:20] 哪一年告诉你呢
[111:21] 呃就是大概可能18年19年这个时间
[111:24] 对
[111:25] 然后所以他从一开始对这件事情的认定就是说我们一定需要把模型变得更大
[111:32] 把数据变得更大
[111:34] 这样就能够得到一个啊
[111:36] 就能推演到一个更好的结果
[111:38] 我觉得我觉得凯明很早很早之前就有这样的一个vision
[111:41] 嗯
[111:42] 嗯
[111:43] 然后所以我们也呃在这条路上有一些努力吧
[111:48] 然后所以我觉得一开始大家讨论自家能学习
[111:52] 包括杨洛空啊
[111:54] 他是一个一个一个big advocate
[111:56] 就是说他是他是非常在乎这个自然都学习
[111:59] 他有这个经典的这个蛋糕的这个analogy
[112:01] 这个这个比喻对吧
[112:03] 就是底层是你的蛋糕的这个这个这个body
[112:07] 这一部分必须是self-superized learning
[112:10] 在上面你可以有一个superized learning对吧
[112:13] 这一部分是他的icing on the cake
[112:15] 就是你蛋糕上的这些这些这些奶油吧啊
[112:19] 然后再往上有一个reinforcement learning
[112:22] 他只是cherry on top
[112:23] 他只是上最上面的一点樱桃
[112:25] 嗯
[112:26] 啊这个蛋糕上面的每一层其实都很重要
[112:30] 但是他没有主次之分
[112:32] 嗯
[112:33] 如果你没有蛋糕的这个底座啊
[112:35] 你是没办法只靠着上面的一个cherry
[112:38] 能够通向这个智能的
[112:40] 嗯
[112:41] 对
[112:42] 嗯
[112:43] 所以我们在fair因为我们做vision
[112:45] 所以其实我们很早就在关注这件事情
[112:48] 但这一部分research的进程是这样的
[112:50] 就是说大概在15年16年的时候
[112:53] 大家已经开始
[112:55] 知道自监督学习其实是vision的一个未来
[112:59] 所以那时候呃
[113:01] 大家会design就设计各种各样的我们我们叫做pretext task
[113:05] 啊
[113:06] 或者说它是一种代理的这种objective代理的目标啊
[113:10] 就是一些代理任务吧
[113:11] 就是说呃什么是自监督学习呢
[113:13] 就是说我现在没有一个label直接给你
[113:16] 对吧
[113:17] 不像image net一样
[113:18] 我有一千个classes
[113:20] 那我可以直接去训练一个supervised classifier
[113:23] 然后通过这种方式拿到这个representation
[113:27] 在过去的时代其实大家做的都是这件事
[113:29] 嗯
[113:30] 通过一千个class label
[113:32] by the way这一千个class里面有两两百个狗的不同的这个种类啊
[113:36] 啊
[113:37] 即使这样这是这是为什么为什么image net这么强对吧
[113:40] 即使这样的分布它还是能让呃我们的神经网络学到很好的表证
[113:46] 我觉得这件事情非常非常厉害
[113:47] 但是大家也能看到这件事情的局限性
[113:49] 一旦你所有的事情都只是supervised learning
[113:52] 很多东西你是没办法去刻画的
[113:55] 嗯
[113:56] 啊因为他学到的东西比如我们现在坐在这里
[113:59] 我们看有这些椅子对吧
[114:01] 然后我们现在有大量的这些图片啊
[114:03] 有不同的椅子啊
[114:05] 有些椅子可能比较正常是在我们这种studio里的椅子
[114:08] 有可能是在家里的椅子
[114:10] 有可能是一些这种设计师的椅子的吧
[114:13] 或者说是一个avocado chair
[114:15] 一个长得像牛油果的椅子
[114:17] 那对于监督学习来说
[114:19] 你需要把所有的这一切映射到一个label
[114:23] 这个label就叫做椅子
[114:25] 啊
[114:26] 所以你的network其实要学的这个映射
[114:29] 啊
[114:30] 其实是非常非常困难的
[114:32] 对
[114:33] 所以他是无穷的映射
[114:34] 他是无穷的映射
[114:35] 嗯
[114:36] 啊
[114:37] 所以所以他只能
[114:39] 要么
[114:40] 去memorize
[114:41] 要么去记忆
[114:42] 背诵一下你见过的所有的椅子
[114:44] 你未见的所有椅子
[114:45] 嗯
[114:46] 要么就啊
[114:48] 这个这个这个通过一些我们叫spirits correlation
[114:52] 就是一些假的一些相关性
[114:55] 来告诉你是一个椅子
[114:56] 比如说他也许没有看这把椅子
[114:58] 但是看的是椅子背后的背景啊
[115:00] 然后或者说他觉得啊
[115:02] 所有的椅子都会在一个桌子旁边
[115:04] 所以他基于这个来有一个决策的分界
[115:07] 然后说哎这是一把椅子
[115:08] 但这件事情不是我们想要的
[115:09] 我们想要做的事情是
[115:11] 从这种非常diverse的viral knowledge里面
[115:14] viral observation里面
[115:15] 去能够有某种common sense
[115:17] 有某种某种这种这种这种这种直觉
[115:21] 嗯
[115:22] 直觉
[115:23] 对
[115:24] 或者说某种常理
[115:25] 对
[115:26] 所以这是一开始大家为什么想要做
[115:28] 啊
[115:29] 所谓的self-supervised learning
[115:30] 或unsupervised learning
[115:31] 一个常见的过去的误解是因为
[115:33] 啊
[115:34] 是是说哎我们要做unsupervised learning
[115:36] 是因为给这些数据打标签
[115:38] 这件事情太难了太贵了
[115:41] 我们需要雇人
[115:42] 需要去打label啊
[115:44] 花钱花时间
[115:45] 我们不想这样做
[115:46] 但只是这只是其中的一个很小很小的问题
[115:49] 大的问题是
[115:50] 在做计算机视觉的人看来啊
[115:53] 很早之前大家都知道啊
[115:55] 只通过这条路径是没办法
[115:58] 给予AI系统这种common sense的
[116:01] 嗯
[116:02] 所以15 16年的时候
[116:03] 大家非常非常有创造力
[116:04] 那段时间其实还是一个蛮有创造力的时代
[116:07] 大家会设计出来各种各样乱七八糟的任务
[116:10] 啊
[116:11] 这些任务比如说你把一张图啊
[116:13] 转个90度或者转180度或者转270度
[116:17] 你不给这些图一个标签
[116:19] 但因为你设计了你你设计了怎么转这些图
[116:22] 对吧
[116:23] 然后这些图啊
[116:25] 会这些图以及他所旋转的角度
[116:28] 可以形成一个valid protect task
[116:31] 你就能够去预测这些被转过去的图
[116:34] 到底转了多少度
[116:36] 啊
[116:37] 就变成一个所谓的一个代理的任务
[116:39] 嗯
[116:40] 类似的代理的任务
[116:41] 还有包括给一张图
[116:43] 然后我们把它变成一个灰度的图
[116:45] 把它的颜色全去掉
[116:47] 但是我又通过我一个神经网络
[116:49] 去重构我原来这个颜色
[116:51] 相当于从一个灰度图
[116:53] 怎么去predict啊
[116:54] 怎么去预测每一个object的颜色
[116:56] 到底应该是怎么样
[116:58] 嗯
[116:59] 然后还有还有类似的例子啊
[117:01] 这个数不胜数
[117:02] 比如说还有另外一个最后一个例子啊
[117:05] 再再举一个例子说这个所谓的contact encoder
[117:07] 就是说我现在把图中间挖掉一块
[117:09] 把它变白
[117:10] 我现在怎么样去训练一个神经网络
[117:13] 然后去把这一部分的这个这个cone给它填填进去
[117:16] 嗯
[117:17] 所有这些
[117:18] pretext task的依据都是说
[117:20] 我们现在
[117:21] 啊
[117:22] 觉得人其实这件事情是可以做的
[117:24] 人之所以能做这件事情
[117:25] 人之所以知道
[117:26] 哎
[117:27] 你这张图片到底是转了90度还是180度
[117:30] 你这张图片
[117:31] 上面的一只蝴蝶啊
[117:33] 一个房屋
[117:34] 它的有什么颜色
[117:35] 或者你可以去预测
[117:37] 中间缺失一块的信息
[117:39] 这些事情是因为人有基于
[117:42] 对于这个物理世界的某种认知
[117:44] 他有这个common sense
[117:46] 嗯
[117:47] 所以他就能够去猜出来
[117:48] 这些被cropped的这些信号
[117:50] 被已经损失掉的信号啊
[117:52] 应该以什么样的方式被重构出来
[117:54] 被遮掩的信号
[117:55] 对
[117:56] 但当初的问题是百花齐放有各种各样的paper
[117:59] 嗯
[118:00] 然后但是没有一个能打的啊
[118:03] 所有的结果都其实很差啊
[118:05] 都比ImageNet的
[118:07] 这种per training
[118:08] 要差大概可能15到20个点
[118:11] 百分点啊
[118:13] 所以大家在make一些progress
[118:15] 大家再一步一步往前走
[118:17] 但是这个距离
[118:19] 呃
[118:20] ImageNet能够通过这种supervised learning
[118:22] 在large scale这种data上面学到的这种这种label
[118:26] 呃
[118:27] 有label的情况下
[118:28] 学到这种representation
[118:29] 还是差的太多太多
[118:31] 对吧
[118:32] 所以呃
[118:33] 我们当初做了一件事情
[118:35] 然后这个跟凯文一起做
[118:36] 然后这个
[118:37] 这个架构叫做
[118:38] 叫做MOCO
[118:39] 嗯
[118:40] 啊
[118:41] momentum contrast
[118:42] 动量对比学习
[118:43] 对动量动量对
[118:44] 这中文名字听起来都很有趣
[118:45] 对
[118:46] 是的是的啊
[118:47] 当然对比学习啊
[118:48] 呃
[118:49] 其实我觉得其实不用深究它里面具具体的这些技术细节
[118:52] 因为现在看起来已经很多东西已经不重要了
[118:55] 但它总之它是第一个把这种叫做对比学习的这样的一个框架
[119:01] 嗯
[119:02] 把它真正做work的一一篇论文
[119:04] 然后什么是对比学习呢
[119:06] 也很简单
[119:07] 就是说我们现在在这个representation space
[119:10] 这个表征的空间里面有有有不同的点
[119:14] 这些点可能是同样的一个object
[119:17] 也有可能是完全不一样的object
[119:19] 比如说我有好几张关于这个椅子的图片
[119:23] 嗯
[119:24] 对吧
[119:25] 然后也有一些可能是桌子的图片或者是一只猫猫狗狗的图片
[119:29] 嗯
[119:30] 这些图片都不一样
[119:31] 但在这个空间里面我们能够去度量他们的距离
[119:35] 或者说我们知道这些所有的不同的椅子
[119:38] 它的这种这种图片应该离得更近
[119:41] 啊
[119:42] 它的representation应该离得更近
[119:43] 但是一个椅子跟一只猫他们距离应该更远
[119:47] 嗯
[119:48] 嗯
[119:49] 所以这就是一个对比学习的一个基本的一个逻辑
[119:51] 然后这件事情其实也不新
[119:53] 这件事情其实也已经做了很多很多年了
[119:57] 然后by the way这件事情
[119:59] 呃
